Aal;50 cm
Asche;35 cm
Bachforelle;26 cm
Barbe;40 cm
Hecht;50 cm
Huchen;90 cm
Nase;30 cm
Nerfling;30 cm
Regenbogenforelle;26 cm
Renke (Felchen);30 cm
Schied (Rapfen);40 cm
Schleie;26 cm
Seeforelle;60 cm
Seesaibling;30 cm
Zander;50 cm
Edelkrebs weibl.;12 cm
Edeikrebs mannl.;12 cm
Karpfen;35 cm
Rutte (Quappe);40 cm
